// Compost colors for spartanweaponry. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_battle_hammer, #c6c0b6
tin_glaive, #826c66
tin_greatsword, #908698
tin_halberd, #877068
tin_heavy_crossbow, #a78d73
tin_javelin, #7f5b3e
tin_katana, #8a7a89
tin_lance, #796554
tin_longbow, #9d9187
tin_longsword, #897d8d
tin_parrying_dagger, #877980
tin_pike, #835b3d
tin_quarterstaff, #7f5b41
tin_rapier, #9e7966
tin_saber, #877d8d
tin_scythe, #736e65
tin_spear, #7f5f48
tin_throwing_knife, #807687
tin_tomahawk, #82695f
tin_warhammer, #7f665e
tipped_bolt, #fbfbfb
tipped_copper_arrow, #c29773
tipped_copper_bolt, #fed9cc
tipped_diamond_arrow, #91ac8a
tipped_diamond_bolt, #defbf5
tipped_iron_arrow, #b5a88d
tipped_netherite_arrow, #9d8c72
tipped_netherite_bolt, #cfc9cc
tipped_wooden_arrow, #9b865e
weapon_oil, #fffffa
wooden_arrow, #947d52
wooden_battle_hammer, #7d5723
wooden_battleaxe, #6e4d1f
wooden_boomerang, #70541f
wooden_club, #7d5c23
wooden_dagger, #684a1e
wooden_flanged_mace, #704d1f
wooden_glaive, #704b1f
wooden_greatsword, #6e4e1f
wooden_halberd, #704d1f
wooden_heavy_crossbow, #97794d
wooden_javelin, #764e20
wooden_katana, #6b481e
wooden_lance, #6e4e1e
wooden_longbow, #8d7954
wooden_longsword, #68471c
wooden_parrying_dagger, #65481c
wooden_pike, #7a4e22
wooden_quarterstaff, #784d20
wooden_rapier, #694a1e
wooden_saber, #68481c
wooden_scythe, #6e4b1e
wooden_spear, #734d1f
wooden_throwing_knife, #66471c
wooden_tomahawk, #6e4a1e
wooden_warhammer, #724b1f
